Item ARK,Parent ARK,Object Type,Title,Item Sequence,File Name,AltTitle.other,Thumbnail,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject topic,Subject geographic,Subject temporal,viewingHint,Contributor,IIIF Manifest URL
ark:/21198/z10w05tp,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"Hawthorn Memorial Methodist Church: Sunday 20th January, 1991",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r809sh,Ephemera Collection,,"January 20, 1991",1991-01-20,13.1939,59.5432,"Program for service held on Sunday, January 20, 1991 at Hawthorn Memorial Methodist Church, as well as announcements for various church activities and events.",21.6 cm x 13.9 cm,4 pages,,programs (documents),,Collection C319|~|Box C-Ch,Hawthorn Memorial Methodist Church,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Methodism|~|Church services|~|Methodist Church--Education,Christ Church (Barbados),20th century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10w05tp/manifest
ark:/21198/z10w05v4,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"SALISES VIIth Annual Conference: ""Social Policy Challenges in the Post-Independence Era""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k670q,Ephemera Collection,,March 2006,2006-03-01,13.1939,59.5432,"The conference was held at the Sir Arthur Lewis Institue of Social and Economic Studies, Cave Hill Campus, Barbados on March 26-31, 2006.",21.8 cm x 13.9 cm,6 pages,,programs (documents),,Box Ci-Cz|~|Folder 4,"University of the West Indies (Cave Hill, Barbados)",,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Congress and conventions|~|Associations, institutions, etc.|~|University|~|Social policy",Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10w05v4/manifest
ark:/21198/z10w05wk,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"1968 Presentation of Graduates, University of the West Indies",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n11k3,Ephemera Collection,,"February 17, 1968",1968-02-17,13.1939,59.5432,"Booklet with program and information for the graduation ceremonies at all campuses of the University of West Indies. Contains names of faculty and students at different campuses (Mona, Jamaica; Cave Hill, Barbados; St. Augustine, Trinidad). The event took place on February 17, 1968.",22.7 cm x 14.9 cm,13 pages,,Program booklets|~|Event programs,,Collection C319|~|Box GHI|~|Folder 9,University of the West Indies,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,School graduation|~|Commencements|~|Graduation ceremonies,Barbados|~|Jamaica|~|Trinidad and Tobago,20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10w05wk/manifest
ark:/21198/z10w05x1,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""Colly!""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv6f4c,Ephemera Collection,,March 1978,1978-03,13.1939,59.5432,"Booklet with the program and cast information for the play ""Colly!"" celebrating the work of Frank A. Collymore, presented by the Barbados Players' Green Room Theatre Club at the Queen's Park Theatre between March 9-19, 1978.",25.4 cm x 20.3 cm,31 pages,,theater programs|~|booklets,,Collection C320|~|Box T|~|Folder 8,Barbados Players Green Room Theatre Club,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Theater|~|West Indian drama (English),Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10w05x1/manifest
ark:/21198/z10z8w9c,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Exhibition of Historical Photographs on Immigration and Early Life of East Indians in Guyana,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h9btx,Ephemera Collection,,1981,1981-01-01/1981-12-31,13.1939,59.5432,"Brochure about the exhibition presenting historical photographs of the immigration and early life of East Indians in Guyana. The exhibition was held during CARIFESTA '81. The photographs were reproduced from historical books, journals, and private collections. Caribbean Festival of Arts (CARIFESTA) was established in 1972 as a multi-disciplinary art festival held in different Caribbean countries to showcase the various talents throughout the region.",21.6 cm x 13.6 cm,6 pages,,exhibition catalogs|~|brochures,,Collection C319|~|Box C-Ch,Carifesta Organisation|~|Government of Guyana|~|Laxhmie Kallicharan,,,Guyana,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Exhibition|~|East Indian Diaspora|~|Immigration|~|Guyana,Saint Michael (Barbados),20th century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10z8w9c/manifest
ark:/21198/z10z8wbt,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,1973 Christ Church Boys' Foundation School Speech Day,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1515v4t,Ephemera Collection,,"March 22, 1973",1973-03-22,13.1939,59.5432,"Program for the Christ Church Boys' Foundation School Speech Day and prize giving on March 22, 1973. Contains schedule and names of staff and students.",17.2 cm x 21.5 cm,8 pages,,Event programs,,Collection C319|~|Box GHI|~|Folder 4,Christ Church Boys' Foundation School,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Speeches|~|School orations|~|Awards and Prizes|~|Awards ceremonies|~|Barbados,Christ Church (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10z8wbt/manifest
ark:/21198/z10z8wc8,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Organ Recital by John Fletcher,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh8g67,Ephemera Collection,,"January 27, 1983",1983-01-27,13.1939,59.5432,"Booklet with the program of an organ recital by John Fletcher that took place at St. Michael's Cathedral on January 27, 1983.",20.9 cm x 14.9 cm,4 pages,,Program booklets|~|Event programs|~|Concert programs,,Collection C319|~|Box KQ|~|Folder 13,St. Michael's Cathedral,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Recitals (music)|~|Organ music,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10z8wc8/manifest
ark:/21198/z10z8wdq,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""Drama"" The Esso Arts Festival 1987",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm68nz,Ephemera Collection,,1987,1987,13.1939,59.5432,"Booklet with the program and cast information of the ESSO Arts Festival 1987, presented by the National Cultural Foundation and ESSO Standard Oil S. A. Ltd. Three plays by Barbadian playwrights were presented during the festival: ""The Bulldozers"" by Anthony Hinkson, ""Glass Heaven"" by Winston Farrell and ""A Silver Web"" by Glenville Lovell. The festival took place between March and April 1987 at Queen's Park Steel Shed and Queen's Park Theatre.",25 cm x 16.9 cm,14 pages,,theater programs|~|booklets,,Collection C320|~|Box T|~|Folder 6,National Cultural Foundation|~|ESSO Standard Oil S. A. Ltd.,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Arts and culture -- Performing arts|~|Performing arts festivals,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10z8wdq/manifest
ark:/21198/z1127kn3,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,LACMA: IX Convencion en Barbados del 21 al 26 de Marzo de 1976,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv0gr6,Ephemera Collection,,March 1976,1976-03-01,13.1939,59.5432,"Booklet for the ninth convention of the Latin American and Caribbean Movers Association, held on March 21-26, 1976. The booklet contains information, various resolutions and topics of interest to the Association's members.",27.9 cm x 20.4 cm,67 pages,,programs (documents),,Box Ci-Cz|~|Folder 3,Latin American and Caribbean Movers Association,,,,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Congress and conventions|~|Associations, institutions, etc.",,20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1127kn3/manifest
ark:/21198/z1127kpj,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Cedric Murrell for President N.U.P.W.,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk38f4,Ephemera Collection,,Between 1991 and 1992,1991/1992,13.1939,59.5432,Election campaign poster of Cedric Murrell for the position of National Union of Public Workers (NUPW) President.,27.1 cm x 20.4 cm,1 page,,Election posters|~|Campaign posters,,Collection C319|~|Box KQ|~|Folder 11,Cedric Murrell,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Election campaigns|~|Labor unions|~|Public employees|~|Civil service--labor unions,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1127kpj/manifest
ark:/21198/z115692t,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,When Ground Doves Fly Book Launch,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk7c6b,Ephemera Collection,,"April 11, 2003",2003-04-11,13.1939,59.5432,Invitation for Ms. Christine Roachford by Ian Randle Publishers for the celebration of the publication of When Ground Doves Fly by Esther Phillips. Event held at the Grande Salle of Barbados Central Bank. Esther Phillips is a literary icon in Barbados who became the island's first ever poet laureate. When Ground Doves Fly is her first full length collection of poems.,11.3 cm x 15 cm,2 pages,,invitations,,Collection C319|~|Box A-B|~|Folder 15,Ian Randle Publishers,,,Barbados,Ian Randle Publishers,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Books|~|Events|~|Caribbean fiction (English),Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz115692t/manifest
ark:/21198/z1156938,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Cecilian Singers: Christmas Concert,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k95rk,Ephemera Collection,,"December 20, 1981",1981-12-20,13.1939,59.5432,"Program for a Christmas concert with the Cecilian Singers conducted by Doris Provencal and held at the Ursuline Convent Hall on Sunday, December 20, 1981. The Cecilian Singers of Barbados was a Christian choir started in 1970 which provided musical entertainment that included classical, sacred and secular works.",21.7 cm x 14. 1 cm,8 pages,,programs (documents),,Box Ci-Cz|~|Folder 1,Cecilian Singers,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Concerts|~|Christmas|~|Choral Societies,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1156938/manifest
ark:/21198/z115694q,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Funeral Service for Evelyn Helena Williams,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s6ksx,Ephemera Collection,,"July 9, 2001",2001-07-09,13.1939,59.5432,"Booklet for the funeral service of Evelyn Helena Williams, late of Enterprise Coast Road, Christ Church, held at Bethlehem Moravian Church, Maxwell, Christ Church, on July 9, 2001, at 2:30 pm.",14 x 22 cm,12 pages,,Program booklets|~|Memorial service programs,,Collection C319|~|Box D-F,,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Funerals|~|Funeral service,Christ Church (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz115694q/manifest
ark:/21198/z1156955,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""Toad of Toad Hall""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd5wxv,Ephemera Collection,,Between 1960 and 1961,1960/1961,13.1939,59.5432,"Booklet with the program and cast information for the play ""Toad of Toad Hall"" by A. A. Milne presented by the Barbados Players' Green Room Theatre Club at the Boy Scout Headquarters, ""Hazelwood,"" Upper Collymore Rock, on December 26-30, 1960, and January 2-4, 1961.",23 cm x 14.7 cm,12 pages,,theater programs|~|booklets,,Collection C320|~|Box T|~|Folder 3,Barbados Players Green Room Theatre Club,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Theater|~|Drama,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1156955/manifest
ark:/21198/z11850hk,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Invitation from the Prime Minister of Jamaica and Lady Bustamante,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb40gg,Ephemera Collection,,"July 26, 1963",1963-07-26,10.6918,61.2225,"Invitation from The Prime Minister of Jamaica and Lady Bustamante for the Premier of Barbados and Mrs. Barrow for a reception on July 26, 1963 held at the Tea Terrace, Trinidad Hilton.",10 cm x 12.6 cm,1 page,,invitations,,Collection C319|~|Box A-B|~|Folder 13,Government of Jamaica,,,Jamaica,Government of Jamaica,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Dinners and dining|~|Prime ministers|~|Government,Trinidad and Tobago,20th Century,paged,Government of Jamaica,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11850hk/manifest
ark:/21198/z11850j1,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Solemn Requiem Eucharist for Oliver Carrington Haynes,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk385j,Ephemera Collection,,November 1990,1990-11,13.1939,59.5432,"Booklet for the funeral service of Oliver Carrington Haynes late of ""Coverly"" Bank Hall Cross Road, St. Michael, held at the Church of St. Barnabas, St. Barnabas Road, St. Michael, on Saturday, November 10, 1990.",20.5 x 29.5 cm,20 pages,,Program booklets|~|Memorial service programs,,Collection C319|~|Box D-F,St. Barnabas Church,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Funerals|~|Funeral service,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11850j1/manifest
ark:/21198/z11850kg,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Pilgrim Memorial Service in Honour of the late Rev. Arnold Cuthbert Pilgrim,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14q9r2s,Ephemera Collection,,"January 17, 1972",1972-01-17,13.1939,59.5432,"Program for the pilgrim memorial service for the late Rev. Arnold Cuthbert Pilgrim that took place on January 17, 1972 at Codrington College, St. John.",21.6 x 14 cm,3 pages,,Program booklets|~|Memorial service programs,,Collection C319|~|Box KQ|~|Folder 6,Pilgrim Foundation Committee,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Memorial services,Saint John (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11850kg/manifest
ark:/21198/z11850mx,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Programme of the Barbados Inter-School Athletic Union Athletic Sports 1960,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q54kz7,Ephemera Collection,,"May 25, 1960",1960-05-25,13.1939,59.5432,"Booklet containing the program for athletic sports competitions held by the Barbados Inter-School Athletic Union. The event took place at Kensington Oval on March 25, 1960. Participating schools included: Harrison College, Combermere School, Lodge School, Boys' Foundation School, and Coleridge and Parry School. The booklet contains the titles of each competition and names of previous record holders and their records.",24.7 cm x 17.9 cm,12 pages,,programs (documents)|~|booklets,,Collection C320|~|Box RS|~|Folder 9,Barbados Inter-School Athletic Union,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Competitions|~|Athletics|~|Sports records|~|Athletics--Commonwealth nations|~|Sports tournaments,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11850mx/manifest
ark:/21198/z11c3pvm,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Ceremony to Commemorate the 50th Anniversary of Universal Free Public Education,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz128246c,Ephemera Collection,,"September 6, 2012",2012-09-06,13.1939,59.5432,"Ceremony to commemorate the fiftieth anniversary of universal free public education held at the Errol Barrow Centre for Creative Imagination, UWI Cave Hill Campus. The slogan for the event was ""Celebrating 50 - Free Education for All.""",21.6 cm x 13.8 cm,2 pages,,programs (documents),,Collection C319|~|Box C-Ch,Ministry of Education & Human Resource Development,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Anniversaries|~|Education|~|Socioeconomic conditions and development--Community development|~|History|~|Government policy|~|Socioeconomic conditions and development -- Social policy,Saint Michael (Barbados),21st century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11c3pvm/manifest
ark:/21198/z11c3pw2,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Official Opening of the Barbados Language Centre and the Library Asisstants' Course,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1156d4z,Ephemera Collection,,"January 22, 1982",1982-01-22,13.1939,59.5432,"Program for the official opening of the Barbados Language Centre and the Library Assistants' Course at the Barbados Community College held on January 22, 1982 in the Liberal Arts Auditorium, Howell's Cross Road, St. Michael.",20.9 cm x 14.7 cm,2 pages,,Event programs,,Collection C319|~|Box KQ|~|Folder 3,Barbados Community College,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Ceremonies|~|Language centers|~|Community colleges|~|Library assistants,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11c3pw2/manifest
